actors,worlwide_gross_income
 Ian Holm," 3,071,067,921.00 "
 Stephen Root," 3,069,231,989.00 "
 Benicio Del Toro," 3,069,089,561.00 "
 Scott Lawrence," 3,066,508,247.00 "
 Dominic West," 3,061,345,952.00 "
 Angela Bassett," 3,051,018,188.00 "
 Robin Williams," 3,044,287,440.00 "
 Tim Allen," 3,042,289,143.00 "
 Nathalie Emmanuel," 3,039,228,604.00 "
 Rene Russo," 3,034,575,852.00 "
 Joseph Gordon-Levitt," 3,032,117,257.00 "
 Paula Malcomson," 3,031,658,816.00 "
 Aidan Turner," 3,026,786,784.00 "
 Patrick Wilson," 3,024,331,658.00 "
 Gerard Butler," 3,022,245,226.00 "
 Danny McBride," 3,020,005,852.00 "
 Ray Winstone," 3,016,471,201.00 "
 Robbie Coltrane," 3,012,436,644.00 "
 Billy Zane," 3,008,037,843.00 "
 Billy Boyd," 3,006,262,461.00 "
 Florence Kasumba," 3,004,244,628.00 "
 John Kani," 3,004,244,628.00 "
 Steve Carell," 2,999,760,115.00 "
 Albert Brooks," 2,996,768,793.00 "
 Bill Nunn," 2,994,145,046.00 "
 Jake Johnson," 2,993,221,730.00 "
John Travolta," 2,992,921,173.00 "
 James Nesbitt," 2,987,391,124.00 "
 Justin Long," 2,978,029,614.00 "
 Chris Miller," 2,976,543,971.00 "
 Willow Shields," 2,973,107,318.00 "
 Christoph Waltz," 2,965,793,180.00 "
 Wes Bentley," 2,960,841,343.00 "
 Ted Levine," 2,951,136,687.00 "
Jennifer Lawrence," 2,937,164,403.00 "
 Kenny Baker," 2,933,892,068.00 "
 Bill Pullman," 2,932,723,899.00 "
 Dean O'Gorman," 2,931,390,211.00 "
 John Callen," 2,931,390,211.00 "
 Peter Hambleton," 2,931,390,211.00 "
 Stephen Hunter," 2,931,390,211.00 "
 William Kircher," 2,931,390,211.00 "
 Jon Hamm," 2,928,780,913.00 "
 Jada Pinkett Smith," 2,923,789,152.00 "
 Danny Huston," 2,920,559,532.00 "
 Rafe Spall," 2,919,044,036.00 "
 Thomas Lennon," 2,917,852,474.00 "
 Kevin James," 2,912,959,590.00 "
 Dave Bautista," 2,912,435,914.00 "
 Lucy Liu," 2,899,734,506.00 "
 Jennifer Saunders," 2,895,746,845.00 "
 Josh Brolin," 2,888,018,381.00 "
 Rebecca Ferguson," 2,878,092,423.00 "
Ryan Reynolds," 2,858,885,494.00 "
 Bruce Greenwood," 2,858,698,619.00 "
Kristen Bell," 2,856,147,746.00 "
 Dan Aykroyd," 2,844,385,134.00 "
 Teddy Newton," 2,843,614,361.00 "
 Aidan Gillen," 2,842,768,151.00 "
 Nick Offerman," 2,839,935,185.00 "
 Lake Bell," 2,828,649,107.00 "
 Chris Cooper," 2,823,499,858.00 "
 Chris Renaud," 2,819,389,220.00 "
 Rory Kinnear," 2,815,865,966.00 "
 Kelsey Grammer," 2,811,334,069.00 "
Eddie Murphy," 2,808,233,480.00 "
 Rachel Weisz," 2,807,730,674.00 "
 Michael Rooker," 2,807,101,759.00 "
 Oliver Platt," 2,806,444,417.00 "
 Cary Elwes," 2,805,958,205.00 "
 Barry Pepper," 2,804,110,533.00 "
 Omar Sy," 2,801,229,917.00 "
 Molly Shannon," 2,791,666,617.00 "
George Clooney," 2,791,417,198.00 "
 Jason Whyte," 2,790,439,092.00 "
 Sean Anthony Moran," 2,790,439,092.00 "
 Kathryn Hahn," 2,789,610,972.00 "
 Michael Shannon," 2,787,621,349.00 "
 Michelle Pfeiffer," 2,772,359,996.00 "
 Steve Zahn," 2,772,165,123.00 "
 Tom McGrath," 2,769,758,716.00 "
 Max Martini," 2,769,093,400.00 "
 Geraldine Somerville," 2,760,454,072.00 "
 Christine Baranski," 2,760,281,833.00 "
 Carla Gugino," 2,751,890,636.00 "
 David Bailie," 2,748,416,549.00 "
 Jonathan Groff," 2,746,455,830.00 "
 Rosemary Harris," 2,735,091,578.00 "
 John Ortiz," 2,731,667,563.00 "
 Marion Cotillard," 2,727,563,191.00 "
 Riz Ahmed," 2,727,124,799.00 "
 Ed Helms," 2,718,111,222.00 "
 Lee Arenberg," 2,715,418,926.00 "
 Bonnie Wright," 2,710,358,993.00 "
 Oliver Phelps," 2,710,358,993.00 "
 Glenn Morshower," 2,706,642,031.00 "
 Cody Cameron," 2,705,035,587.00 "
 Keri Russell," 2,704,710,299.00 "
 Anna Paquin," 2,697,259,147.00 "
Chris Hemsworth," 2,695,925,874.00 "
Jack Black," 2,693,111,530.00 "
 Thandie Newton," 2,682,846,475.00 "
 Leslie Mann," 2,681,369,640.00 "
 Thomas Haden Church," 2,680,167,298.00 "
 Miranda Cosgrove," 2,679,775,013.00 "
 Frances Fisher," 2,677,677,472.00 "
